"month_count","month","beer"
1,"July",13.092
2,"August",11.978
3,"September",11.609
4,"October",10.812
5,"November",8.536
6,"December",9.617
7,"January",9.561
8,"February",9.31
9,"March",11.835
10,"April",12.448
11,"May",12.447
12,"June",13.403
13,"July",12.38
14,"August",11.33
15,"September",11.01
16,"October",10.275
17,"November",9.303
18,"December",9.815
19,"January",9.618
20,"February",9.411
21,"March",12.526
22,"April",12.329
23,"May",12.367
24,"June",13.722
25,"July",13.283
26,"August",12.276
27,"September",11.413
28,"October",10.531
29,"November",9.864
30,"December",10.105
31,"January",9.958
32,"February",10.38
33,"March",12.619
34,"April",12.527
35,"May",13.249
36,"June",14.206
37,"July",13.176
38,"August",13.059
39,"September",11.406
40,"October",11.235
41,"November",9.924
42,"December",9.591
43,"January",10.984
44,"February",10.724
45,"March",13.138
46,"April",12.858
47,"May",13.825
48,"June",13.087
49,"July",13.762
50,"August",14.17
51,"September",12.121
52,"October",12.381
53,"November",10.896
54,"December",10.649
55,"January",12.191
56,"February",10.984
57,"March",13.049
58,"April",13.089
59,"May",14.713
60,"June",15.043
61,"July",15.746
62,"August",14.61
63,"September",12.667
64,"October",12.277
65,"November",10.711
66,"December",11.113
67,"January",12.548
68,"February",11.18
69,"March",12.412
70,"April",14.496
71,"May",14.343
72,"June",15.761
73,"July",16.075
74,"August",14.718
75,"September",13.345
76,"October",12.35
77,"November",11.216
78,"December",12.15
79,"January",12.44
80,"February",11.89
81,"March",11.855
82,"April",13.687
83,"May",15.175
84,"June",15.758
85,"July",16.538
86,"August",16.096
87,"September",14.312
88,"October",13.422
89,"November",11.287
90,"December",11.19
91,"January",11.978
92,"February",11.482
93,"March",16.199
94,"April",16.027
95,"May",16.787
96,"June",16.904
